,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
4528,RGL,2024-08-26,105.98391000000001,Sell,3,23.74039584,294.21133416,274528.9645951156
4529,JSWSTEEL,2024-08-27,962.4865500000001,Sell,2,9.143622225000001,1915.8294777750002,276444.79407289065
4530,ORIENTCEM,2024-08-27,311.26095,Buy,54,8.40404565,16816.49534565,259628.29872724065
4531,ZYDUSLIFE,2024-08-27,1136.1349999999998,Buy,14,7.952944999999998,15913.842944999995,243714.45578224066
4532,RAMASTEEL,2024-08-27,10.190179999999998,Buy,1374,7.000653659999999,14008.307973659998,229706.14780858066
4533,KAMDHENU,2024-08-27,55.71423,Sell,23,6.212136645000001,1275.215153355,230981.36296193567
4534,DAVANGERE,2024-08-27,6.836829999999999,Buy,1631,5.575434864999999,11156.445164865,219824.91779707067
4535,SPARC,2024-08-27,231.91785000000002,Sell,6,5.450069475,1386.057030525,221210.97482759567
4536,DIL,2024-08-27,6.40359,Sell,69,4.095095805000001,437.752614195,221648.72744179066
4537,ICICIBANK,2024-08-28,1221.4273500000002,Sell,1,6.1071367500000004,1215.32021325,222864.04765504066
4538,SBICARD,2024-08-28,736.8624,Sell,2,5.1580368,1468.5667632,224332.61441824067
4539,CHOLAFIN,2024-08-28,1440.99756,Sell,16,5.04349146,23050.91746854,247383.53188678066
4540,ABREL,2024-08-28,2497.7997,Sell,13,3.74669955,32467.649400450002,279851.1812872307
4541,ADSL,2024-08-28,230.769,Sell,6,4.7307645,1379.8832355,281231.0645227307
4542,PRSMJOHNSN,2024-08-28,172.27755,Sell,11,4.4792163,1890.5738337,283121.6383564307
4543,GAEL,2024-08-28,147.0528,Sell,10,4.4851104,1466.0428895999999,284587.68124603067
4544,DHANI,2024-08-28,61.938,Sell,24,4.273722,1482.2382780000003,286069.91952403064
4545,ZEEL,2024-08-28,151.66818,Sell,78,3.86753859,11826.25050141,297896.17002544063
4546,MUTHOOTFIN,2024-08-29,1970.6273999999999,Sell,6,13.7943918,11809.9700082,309706.1400336406
4547,IEX,2024-08-29,201.53826,Sell,12,12.999217770000001,2405.45990223,312111.5999358706
4548,NBCC,2024-08-29,129.89997,Sell,12,11.496147344999999,1547.303492655,313658.9034285256
4549,BODALCHEM,2024-08-29,82.917,Sell,24,11.110878000000001,1978.897122,315637.8005505256
4550,IPL,2024-08-29,228.771,Sell,15,9.0364545,3422.5285454999994,319060.3290960256
4551,PREMIERPOL,2024-08-30,46.8531,Sell,34,13.845091049999999,1579.16030895,320639.4894049756
4552,KEC,2024-08-30,909.0400500000001,Sell,1,13.181080725000001,895.858969275,321535.34837425064
4553,MIDHANI,2024-08-30,397.1025,Sell,2,12.70728,781.4977200000001,322316.8460942506
4554,COCHINSHIP,2024-08-30,1948.4695800000002,Sell,2,11.690817480000002,3885.2483425200003,326202.0944367706
4555,VISHWARAJ,2024-08-30,19.22076,Sell,690,11.10959928,13251.21480072,339453.3092374906
4556,PFC,2024-09-02,538.05141,Sell,3,7.801745445000001,1606.352484555,341059.66172204557
4557,AUBANK,2024-09-02,684.2650500000001,Sell,34,7.184783025000001,23257.826916975002,364317.4886390206
4558,ORIENTHOT,2024-09-02,162.81701999999999,Sell,22,7.24535739,3574.7290826099993,367892.2177216306
4559,RVNL,2024-09-02,607.52187,Sell,20,6.68274057,12143.75465943,380035.9723810606
4560,ANDHRSUGAR,2024-09-02,114.75513000000001,Sell,11,6.254154585,1256.0522754150002,381292.0246564756
4561,ITI,2024-09-02,305.84385,Sell,5,5.811033149999999,1523.40821685,382815.4328733256
4562,RENUKA,2024-09-02,50.41953,Sell,26,5.873875245000001,1305.033904755,384120.4667780806
4563,DHAMPURSUG,2024-09-02,224.775,Sell,43,5.7317625,9659.593237500001,393780.0600155806
4564,DWARKESH,2024-09-02,76.923,Sell,15,5.307687,1148.537313,394928.5973285806
4565,RHFL,2024-09-02,3.2432399999999997,Buy,3159,5.12269758,10250.517857579998,384678.07947100064
4566,INVENTURE,2024-09-02,2.49249,Buy,3440,4.2870828,8578.4526828,376099.62678820064
4567,KPIL,2024-09-03,1390.7578500000002,Sell,1,7.649168175000001,1383.108681825,377482.7354700256
4568,HEROMOTOCO,2024-09-03,5459.41512,Sell,3,5.45941512,16372.785944879999,393855.5214149056
4569,GUJGASLTD,2024-09-03,669.58974,Sell,7,7.7002820100000005,4679.42789799,398534.9493128956
4570,SDBL,2024-09-03,114.03585000000001,Sell,103,7.6974198750000005,11737.995130125002,410272.9444430206
4571,MOIL,2024-09-03,377.35227000000003,Sell,3,7.169693130000001,1124.88711687,411397.83155989065
4572,HEMIPROP,2024-09-03,206.45334,Sell,23,6.70973355,4741.717086449999,416139.54864634067
4573,IRCON,2024-09-03,253.27301999999997,Buy,53,6.711735029999999,13430.181795029997,402709.36685131065
4574,DPSCLTD,2024-09-03,18.53852,Buy,664,6.15478864,12315.73206864,390393.63478267065
4575,HILTON,2024-09-03,93.06684,Sell,720,6.00281118,67002.12198882,457395.7567714907
4576,DAVANGERE,2024-09-03,7.47252,Sell,1631,5.5483461,12182.1317739,469577.8885453907
4577,KAMOPAINTS,2024-09-03,44.70525,Sell,87,5.163456375,3884.193293625,473462.0818390157
4578,IRCTC,2024-09-04,924.6344399999999,Sell,1,17.568054359999998,907.0663856399999,474369.1482246557
4579,PTC,2024-09-04,208.31148000000002,Sell,7,16.76907414,1441.4112858600001,475810.5595105157
4580,RESPONIND,2024-09-04,259.70004,Sell,66,15.84170244,17124.36093756,492934.9204480757
4581,DLINKINDIA,2024-09-04,652.57677,Sell,9,15.335554094999999,5857.855375905,498792.7758239807
4582,INDUSINDBK,2024-09-04,1415.583,Sell,3,14.155830000000002,4232.59317,503025.3689939807
4583,RAYMOND,2024-09-04,2117.7801,Sell,8,12.7066806,16929.5341194,519954.9031133807
4584,FEDERALBNK,2024-09-05,188.44825999999998,Buy,150,14.1336195,28281.372619499998,491673.53049388074
4585,ONGC,2024-09-05,303.62332,Buy,84,12.75217944,25517.11105944,466156.41943444073
4586,BHEL,2024-09-05,279.279,Buy,87,12.1486365,24309.4216365,441846.99779794074
4587,JMFINANCIL,2024-09-05,121.97789999999999,Sell,45,11.4659226,5477.539577399999,447324.53737534076
4588,SCILAL,2024-09-05,81.56147999999999,Buy,254,10.358307959999998,20726.974227959996,426597.5631473808
4589,SIGACHI,2024-09-05,57.947889999999994,Buy,336,9.73524552,19480.22628552,407117.33686186076
4590,MMTC,2024-09-05,98.49839999999999,Buy,195,9.603594,19216.791594,387900.54526786075
4591,NDL,2024-09-05,4.644639999999999,Buy,4022,9.340371039999999,18690.082451039998,369210.4628168208
4592,AXITA,2024-09-05,16.95694,Buy,899,7.62214453,15251.911204529999,353958.5516122908
4593,SADHNANIQ,2024-09-05,58.91103,Sell,87,6.65694639,5118.6026636100005,359077.1542759008
4594,DRREDDY,2024-09-06,1341.1197799999998,Buy,8,5.3644791199999995,10734.322719119999,348342.8315567808
4595,BEL,2024-09-06,289.03875,Buy,38,5.49173625,10988.96423625,337353.8673205308
